STATN;DATA;TYPE;LONGI;LATIT;FACADE;ORDRE
Point 1 Dunkerque;REPHY;HY,PP;2.333;51.069;MANCHE;1
Strouanne;REPHY;HY,PP;1.677;50.906;MANCHE;2
Bouchots Tardinghen;REPHY;HY,PP;1.615;50.877;MANCHE;3
Parc 10 n;REPHY;HY,PP;1.599;50.764;MANCHE;4
Point 1 Boulogne;REPHY;HY,PP;1.549;50.753;MANCHE;5
Passerelle RO-RO;REPHY;HY,PP;1.567;50.727;MANCHE;6
Point L;SOMLIT;HY,CY;1.417;50.688;MANCHE;7
Point C;PHYTOBS/SOMLIT;HY,PP,CY;1.52;50.679;MANCHE;8
Bif;REPHY;HY,PP;1.59;50.216;MANCHE;9
Le Hourdel;REPHY;HY,PP;1.502;50.23;MANCHE;10
At so;REPHY;HY,PP;1.474;50.231;MANCHE;11
Antifer ponton petrolier;REPHY;HY,PP;0.132;49.666;MANCHE;12
Manche Est Vergoyer - J;REPHY;HY,PP;0.288;50.267;MANCHE;13
Antifer ponton peche;REPHY;HY,PP;0.152;49.651;MANCHE;14
Grande Rade;REPHY;HY,PP;-0.011;49.521;MANCHE;15
Bouee Carosse;REPHY;HY,PP;0.025;49.484;MANCHE;16
Cabourg;REPHY;HY,PP;-0.117;49.298;MANCHE;17
Ouistreham 1 mille;REPHY;HY,PP;-0.243;49.311;MANCHE;18
Bouee de Luc 2 milles;REPHY;HY,PP;-0.308;49.346;MANCHE;19
Smile;SOMLIT;HY,CY;-0.333;49.337;MANCHE;20
Luc sur mer;REPHY;HY,PP;-0.347;49.322;MANCHE;21
Luc-sur-Mer;PHYTOBS/SOMLIT;HY,PP,CY;-0.333;49.337;MANCHE;22
St Aubin;REPHY;HY,PP;-0.388;49.341;MANCHE;23
Roches de Grandcamp;REPHY;HY,PP;-1.048;49.394;MANCHE;24
Grandcamp prise eau base;REPHY;HY,PP;-1.092;49.383;MANCHE;25
Gefosse;REPHY;HY,PP;-1.107;49.39;MANCHE;26
St Vaast Sud;REPHY;HY,PP;-1.288;49.559;MANCHE;27
Gatteville phare;REPHY;HY,PP;-1.262;49.695;MANCHE;28
Barfleur gisement;REPHY;HY,PP;-1.252;49.707;MANCHE;29
Salmona cage;REPHY;HY,PP;-1.624;49.673;MANCHE;30
Digue de Querqueville;REPHY;HY,PP;-1.663;49.672;MANCHE;31
Anse Moulinet;REPHY;HY,PP;-1.901;49.663;MANCHE;32
FLAM - Dielette;REPHY;HY,PP;-1.919;49.547;MANCHE;33
Pirou Bergerie Sud;REPHY;HY,PP;-1.605;49.147;MANCHE;34
