"aphiaID","Kingdom","Subkingdom","Infrakingdom","Phylum","Subphylum","Infraphylum","Class","Subclass","Order","Family","Genus","Species","Superorder","Phylum (Division)","Subphylum (Subdivision)","Suborder","Subfamily","Variety","Forma","Subgenus","Superclass","rank"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superdomain"
7,"Chromista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kingdom"
11,"Chromista","Harosa","Alveolata","Ciliophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
801,"Plantae","Viridiplantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chlorophyta",NA,NA,NA,NA,NA,NA,NA,"Phylum (Division)"
802,"Plantae","Viridiplantae",NA,NA,NA,NA,"Chlorophyceae",NA,NA,NA,NA,NA,NA,"Chlorophyta","Chlorophytina",NA,NA,NA,NA,NA,NA,"Class"
1410,"Chromista","Harosa","Rhizaria","Foraminifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
8012,"Protozoa","Eozoa","Euglenozoa","Euglenozoa","Euglenoida","Dipilida","Euglenophyceae","Euglenophycidae","Euglenales","Euglenaceae","Euglena",NA,NA,NA,NA,NA,"Euglenoideae",NA,NA,NA,NA,"Genus"
17329,"Plantae","Viridiplantae",NA,NA,NA,NA,"Prasinophyceae",NA,NA,NA,NA,NA,NA,"Chlorophyta",NA,NA,NA,NA,NA,NA,NA,"Class"
17638,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
17639,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
17640,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
17651,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyta incertae sedis",NA,NA,"Katablepharidaceae","Leucocryptos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
17655,"Protozoa","Eozoa","Euglenozoa","Euglenozoa","Euglenoida","Dipilida","Euglenophyceae","Euglenophycidae","Eutreptiales","Eutreptiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
17657,"Protozoa","Eozoa","Euglenozoa","Euglenozoa","Euglenoida","Dipilida","Euglenophyceae","Euglenophycidae","Eutreptiales","Eutreptiaceae","Eutreptiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
17666,"Plantae","Viridiplantae",NA,NA,NA,NA,"Chlorodendrophyceae",NA,"Chlorodendrales",NA,NA,NA,NA,"Chlorophyta","Chlorophytina",NA,NA,NA,NA,NA,NA,"Order"
17667,"Plantae","Viridiplantae",NA,NA,NA,NA,"Chlorodendrophyceae",NA,"Chlorodendrales","Chlorodendraceae",NA,NA,NA,"Chlorophyta","Chlorophytina",NA,NA,NA,NA,NA,NA,"Family"
18526,"Plantae","Viridiplantae",NA,NA,NA,NA,"Chlorophyceae",NA,"Volvocales",NA,NA,NA,NA,"Chlorophyta","Chlorophytina",NA,NA,NA,NA,NA,NA,"Order"
19539,"Protozoa","Eozoa","Euglenozoa","Euglenozoa","Euglenoida","Dipilida","Euglenophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
19542,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
21001,"Protozoa","Eozoa","Euglenozoa","Euglenozoa","Euglenoida","Dipilida","Euglenophyceae","Euglenophycidae","Euglenales","Euglenaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
101185,"Chromista","Harosa","Alveolata","Ciliophora","Intramacronucleata",NA,"Oligotrichea","Oligotrichia","Choreotrichida","Strobilidiidae","Strobilidium",NA,NA,NA,NA,"Strobilidiina",NA,NA,NA,NA,NA,"Genus"
101190,"Chromista","Harosa","Alveolata","Ciliophora","Intramacronucleata",NA,"Oligotrichea","Oligotrichia","Oligotrichida","Tontoniidae","Laboea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
101264,"Chromista","Harosa","Alveolata","Ciliophora","Intramacronucleata",NA,"Oligotrichea","Oligotrichia","Oligotrichida","Tontoniidae","Laboea","Laboea strobila",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
106282,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,"Cryptomonadales","Cryptomonadaceae","Cryptomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
106283,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,"Pyrenomonadales","Geminigeraceae","Plagioselmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
106287,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,"Pyrenomonadales","Chroomonadaceae","Hemiselmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
106303,"Chromista","Hacrobia",NA,"Cryptophyta",NA,NA,"Cryptophyceae",NA,"Pyrenomonadales","Geminigeraceae","Plagioselmis","Plagioselmis prolonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species"
109390,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophysiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
109391,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
109392,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Gymnodiniales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
