aphiaID;rank
1;Superdomain
7;Kingdom
11;Phylum
801;Phylum (Division)
802;Class
1410;Phylum
8012;Genus
17329;Class
17638;Phylum
17639;Class
17640;Order
17651;Genus
17655;Family
17657;Genus
17666;Order
17667;Family
18526;Order
19539;Class
19542;Class
21001;Family
101185;Genus
101190;Genus
101264;Species
106282;Genus
106283;Genus
106287;Genus
106303;Species
109390;Order
109391;Order
109392;Order
109393;Order
109394;Order
109396;Order
109404;Order
109406;Family
109408;Family
109410;Family
109413;Family
109415;Family
109418;Family
109421;Family
109428;Family
109432;Family
109433;Family
109435;Family
109436;Family
109438;Family
109442;Family
109444;Family
109458;Genus
109459;Genus
109462;Genus
109463;Genus
109464;Genus
109466;Genus
109467;Genus
109468;Genus
109470;Genus
109473;Genus
109474;Genus
109475;Genus
109476;Genus
109477;Genus
109479;Genus
109485;Genus
109486;Genus
109487;Genus
109490;Genus
109491;Genus
109499;Genus
109500;Genus
109502;Genus
109506;Genus
109507;Genus
109508;Genus
109509;Genus
109510;Genus
109512;Genus
109515;Genus
109517;Genus
109518;Genus
109519;Genus
109522;Genus
109524;Genus
109525;Genus
109526;Genus
109527;Genus
109528;Genus
109534;Genus
109537;Genus
109540;Genus
109541;Genus
109542;Genus
109543;Genus
109545;Genus
109548;Genus
109549;Genus
109550;Genus
109553;Genus
109555;Genus
109556;Genus
109557;Genus
109559;Genus
109560;Genus
109561;Genus
109564;Genus
109566;Genus
109567;Genus
109571;Genus
109592;Species
109603;Species
109604;Species
109609;Species
109612;Species
109616;Species
109624;Species
109627;Species
109637;Species
109638;Species
109651;Species
109652;Species
109662;Species
109672;Species
109694;Species
109707;Species
109710;Species
109711;Species
109712;Species
109713;Species
109714;Species
109723;Species
109726;Species
109754;Species
109766;Species
109784;Species
109794;Species
109825;Species
109849;Species
109851;Species
109852;Species
109854;Species
109856;Species
109859;Species
109871;Species
109872;Species
109876;Species
109885;Species
109889;Species
109890;Species
109894;Species
109898;Species
109899;Species
109901;Species
109902;Species
109903;Species
109914;Species
109918;Species
109920;Species
109921;Species
109923;Species
109927;Species
109984;Species
109986;Species
109989;Species
109992;Species
110001;Species
110007;Species
110009;Species
110011;Species
110014;Species
110015;Species
110027;Species
110035;Species
110039;Species
110041;Species
110043;Species
110045;Species
110068;Species
110077;Species
110079;Species
110082;Species
110085;Species
110086;Species
110087;Species
110097;Species
110100;Species
110102;Species
110109;Species
110114;Species
110115;Species
110116;Species
110122;Species
110139;Species
110152;Species
110154;Species
110155;Species
110168;Species
110199;Species
110202;Species
110208;Species
110210;Species
110212;Species
110213;Species
110214;Species
110215;Species
110217;Species
110219;Species
110223;Species
110228;Species
110229;Species
110234;Species
110238;Species
110239;Species
110240;Species
110241;Species
110242;Species
110243;Species
110244;Species
110245;Species
110247;Species
110248;Species
110249;Species
110250;Species
110257;Species
110259;Species
