RLABO;SHIPC;CRUIS;STNNO;LATIT;LONGI;POSYS;STATN;SDATE;STIME;WADEP;SMPNO;FINFL;SMVOL;MNDEP;MXDEP;SPECI;TRPHY;STAGE;PARAM;MUNIT;QFLAG;ALABO;METOA;METFP;SLABO;SMTYP;PURPM;MYEAR;DTYPE;RLIST;SIZCL;SIZRF;SFLAG;VALUE;MPROG;RESP_RESULTAT
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;103356;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;106.362;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;104074;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;986.623;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;104079;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;6.525;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;104081;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;14.029;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;104086;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;0.163;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;104106;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;99.184;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;105;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;11.093;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;106264;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;155.954;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;106422;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;266.232;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1066;;NP;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;10.44;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;106673;;LV-MG;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;0.326;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;106673;;LV-ZO;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;13.377;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1086;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;0.653;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1100;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;2291.028;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1102;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;360.196;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;117034;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;2.61;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1207;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;0.489;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;128569;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;0.653;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;128586;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;84.829;CEMP~NATL;
BAMN;AA31;2010;PNMI_B120101025NA;48.317;-4.617;;PNMI_B1;20101025;;;B1_2010-10-25_SURFACE;;;0;5;1337;;NS;ABUNDNR;nr/m3;;;IMA-ZS;;;;T~S;2010;ZP;ERID;;;;11.419;CEMP~NATL;
