"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2000","Astan20000412NA",48.732,-3.968,,"Astan","20000412",,,"RA000412",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2000","PP","ERID",,,,106.470106470106,"CEMP~NATL"
"BAMN","AA31","2000","Astan20000412NA",48.732,-3.968,,"Astan","20000412",,,"RA000412",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2000","PP","ERID",,,,2731.36773136773,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010502NA",48.732,-3.968,,"Astan","20010502",,,"RA010502",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,163.800163800164,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010502NA",48.732,-3.968,,"Astan","20010502",,,"RA010502",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,1347.25634725635,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010529NA",48.732,-3.968,,"Astan","20010529",,,"RA010529",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,278.460278460278,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010529NA",48.732,-3.968,,"Astan","20010529",,,"RA010529",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,180.18018018018,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010808NA",48.732,-3.968,,"Astan","20010808",,,"RA010808",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,183.760683760684,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010808NA",48.732,-3.968,,"Astan","20010808",,,"RA010808",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,4286.32478632479,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010926NA",48.732,-3.968,,"Astan","20010926",,,"RA010926",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,90.0900900900901,"CEMP~NATL"
"BAMN","AA31","2001","Astan20010926NA",48.732,-3.968,,"Astan","20010926",,,"RA010926",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,3050.77805077805,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011011NA",48.732,-3.968,,"Astan","20011011",,,"RA011011",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,209.401709401709,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011011NA",48.732,-3.968,,"Astan","20011011",,,"RA011011",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,2764.95726495727,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011025NA",48.732,-3.968,,"Astan","20011025",,,"RA011025",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,363.247863247863,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011025NA",48.732,-3.968,,"Astan","20011025",,,"RA011025",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,3072.64957264957,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011112NA",48.732,-3.968,,"Astan","20011112",,,"RA011112",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,235.042735042735,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011112NA",48.732,-3.968,,"Astan","20011112",,,"RA011112",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,5175.21367521367,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011123NA",48.732,-3.968,,"Astan","20011123",,,"RA011123",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,256.410256410256,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011123NA",48.732,-3.968,,"Astan","20011123",,,"RA011123",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,4059.82905982906,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011207NA",48.732,-3.968,,"Astan","20011207",,,"RA011207",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,217.948717948718,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011207NA",48.732,-3.968,,"Astan","20011207",,,"RA011207",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,3051.28205128205,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011218NA",48.732,-3.968,,"Astan","20011218",,,"RA011218",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,230.769230769231,"CEMP~NATL"
"BAMN","AA31","2001","Astan20011218NA",48.732,-3.968,,"Astan","20011218",,,"RA011218",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2001","PP","ERID",,,,3705.12820512821,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020108NA",48.732,-3.968,,"Astan","20020108",,,"RA020108",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,123.142250530786,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020108NA",48.732,-3.968,,"Astan","20020108",,,"RA020108",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,3859.87261146497,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020122NA",48.732,-3.968,,"Astan","20020122",,,"RA020122",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,194.704049844237,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020122NA",48.732,-3.968,,"Astan","20020122",,,"RA020122",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,1390.18691588785,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020201NA",48.732,-3.968,,"Astan","20020201",,,"RA020201",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,243.589743589744,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020201NA",48.732,-3.968,,"Astan","20020201",,,"RA020201",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,2726.49572649573,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020207NA",48.732,-3.968,,"Astan","20020207",,,"RA020207",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,243.589743589744,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020207NA",48.732,-3.968,,"Astan","20020207",,,"RA020207",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,2405.98290598291,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020307NA",48.732,-3.968,,"Astan","20020307",,,"RA020307",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,124.610591900312,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020307NA",48.732,-3.968,,"Astan","20020307",,,"RA020307",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,2063.86292834891,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020322NA",48.732,-3.968,,"Astan","20020322",,,"RA020322",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,210.280373831776,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020322NA",48.732,-3.968,,"Astan","20020322",,,"RA020322",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,2313.08411214953,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020405NA",48.732,-3.968,,"Astan","20020405",,,"RA020405",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,276.479750778816,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020405NA",48.732,-3.968,,"Astan","20020405",,,"RA020405",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,3224.29906542056,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020506NA",48.732,-3.968,,"Astan","20020506",,,"RA020506",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,389.408099688474,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020506NA",48.732,-3.968,,"Astan","20020506",,,"RA020506",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,1234.42367601246,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020523NA",48.732,-3.968,,"Astan","20020523",,,"RA020523",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,198.598130841122,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020523NA",48.732,-3.968,,"Astan","20020523",,,"RA020523",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,669.781931464175,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020603NA",48.732,-3.968,,"Astan","20020603",,,"RA020603",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,319.314641744548,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020603NA",48.732,-3.968,,"Astan","20020603",,,"RA020603",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,1051.40186915888,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020618NA",48.732,-3.968,,"Astan","20020618",,,"RA020618",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,218.068535825545,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020618NA",48.732,-3.968,,"Astan","20020618",,,"RA020618",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,1378.5046728972,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020704NA",48.732,-3.968,,"Astan","20020704",,,"RA020704",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,140.18691588785,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020704NA",48.732,-3.968,,"Astan","20020704",,,"RA020704",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,2355.91900311527,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020719NA",48.732,-3.968,,"Astan","20020719",,,"RA020719",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,288.16199376947,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020719NA",48.732,-3.968,,"Astan","20020719",,,"RA020719",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,3056.85358255452,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020801NA",48.732,-3.968,,"Astan","20020801",,,"RA020801",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,118.895966029724,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020801NA",48.732,-3.968,,"Astan","20020801",,,"RA020801",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,1685.77494692144,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020819NA",48.732,-3.968,,"Astan","20020819",,,"RA020819",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,246.284501061571,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020819NA",48.732,-3.968,,"Astan","20020819",,,"RA020819",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,3723.991507431,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020902NA",48.732,-3.968,,"Astan","20020902",,,"RA020902",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,237.791932059448,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020902NA",48.732,-3.968,,"Astan","20020902",,,"RA020902",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,6760.08492569002,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020916NA",48.732,-3.968,,"Astan","20020916",,,"RA020916",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,186.836518046709,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020916NA",48.732,-3.968,,"Astan","20020916",,,"RA020916",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,8097.66454352442,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020917NA",48.732,-3.968,,"Astan","20020917",,,"RA020917",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,259.023354564756,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020917NA",48.732,-3.968,,"Astan","20020917",,,"RA020917",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,7452.22929936306,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021004NA",48.732,-3.968,,"Astan","20021004",,,"RA021004",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,165.605095541401,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021004NA",48.732,-3.968,,"Astan","20021004",,,"RA021004",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,4772.82377919321,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021014NA",48.732,-3.968,,"Astan","20021014",,,"RA021014",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,123.142250530786,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021014NA",48.732,-3.968,,"Astan","20021014",,,"RA021014",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,4479.83014861996,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021030NA",48.732,-3.968,,"Astan","20021030",,,"RA021030",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,250.530785562633,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021030NA",48.732,-3.968,,"Astan","20021030",,,"RA021030",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,5286.62420382166,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021202NA",48.732,-3.968,,"Astan","20021202",,,"RA021202",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,230.769230769231,"CEMP~NATL"
"BAMN","AA31","2002","Astan20021202NA",48.732,-3.968,,"Astan","20021202",,,"RA021202",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2002","PP","ERID",,,,3034.18803418803,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030423NA",48.732,-3.968,,"Astan","20030423",,,"RA030423",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,162.878787878788,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030423NA",48.732,-3.968,,"Astan","20030423",,,"RA030423",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,4992.42424242424,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030505NA",48.732,-3.968,,"Astan","20030505",,,"RA030505",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,109.848484848485,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030505NA",48.732,-3.968,,"Astan","20030505",,,"RA030505",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,1537.87878787879,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030521NA",48.732,-3.968,,"Astan","20030521",,,"RA030521",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,60.6060606060606,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030521NA",48.732,-3.968,,"Astan","20030521",,,"RA030521",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,435.606060606061,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030610NA",48.732,-3.968,,"Astan","20030610",,,"RA030610",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,196.969696969697,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030610NA",48.732,-3.968,,"Astan","20030610",,,"RA030610",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,958.333333333333,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030623NA",48.732,-3.968,,"Astan","20030623",,,"RA030623",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,41.6666666666667,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030623NA",48.732,-3.968,,"Astan","20030623",,,"RA030623",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,1386.36363636364,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030708NA",48.732,-3.968,,"Astan","20030708",,,"RA030708",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,7.57575757575758,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030708NA",48.732,-3.968,,"Astan","20030708",,,"RA030708",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,257.575757575758,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030723NA",48.732,-3.968,,"Astan","20030723",,,"RA030723",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,71.969696969697,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030723NA",48.732,-3.968,,"Astan","20030723",,,"RA030723",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,462.121212121212,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030807NA",48.732,-3.968,,"Astan","20030807",,,"RA030807",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,136.363636363636,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030807NA",48.732,-3.968,,"Astan","20030807",,,"RA030807",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,2893.93939393939,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030821NA",48.732,-3.968,,"Astan","20030821",,,"RA030821",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,181.818181818182,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030821NA",48.732,-3.968,,"Astan","20030821",,,"RA030821",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,5852.27272727273,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030904NA",48.732,-3.968,,"Astan","20030904",,,"RA030904",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,121.212121212121,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030904NA",48.732,-3.968,,"Astan","20030904",,,"RA030904",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,8397.72727272727,"CEMP~NATL"
"BAMN","AA31","2003","Astan20030918NA",48.732,-3.968,,"Astan","20030918",,,"RA030918",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"T~S","2003","PP","ERID",,,,174.242424242424,"CEMP~NATL"
