"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2002","Astan20020316NA",48.7778,-3.9375,,"Astan","20020316",,,"Astan_20020316",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2002","PP","ERID",,,,70.25645,"CEMP~NATL"
"BAMN","AA31","2002","Astan20020316NA",48.7778,-3.9375,,"Astan","20020316",,,"Astan_20020316",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2002","PP","ERID",,,,2097.361664,"CEMP~NATL"
"BAMN","AA31","2002","Estacade20020316NA",48.7322,-3.98278,,"Estacade","20020316",,,"Estacade_20020316",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2002","PP","ERID",,,,61.990985,"CEMP~NATL"
"BAMN","AA31","2002","Estacade20020316NA",48.7322,-3.98278,,"Estacade","20020316",,,"Estacade_20020316",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2002","PP","ERID",,,,2043.636143,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090106NA",44.6334,-1.2377,,"Bouee 13","20090106",,,"Bouee 13_20090106",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,21.528525,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090106NA",44.6334,-1.2377,,"Bouee 13","20090106",,,"Bouee 13_20090106",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4682.454252,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090119NA",44.6334,-1.2377,,"Bouee 13","20090119",,,"Bouee 13_20090119",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,48.439182,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090119NA",44.6334,-1.2377,,"Bouee 13","20090119",,,"Bouee 13_20090119",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,3449.946179,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090204NA",44.6334,-1.2377,,"Bouee 13","20090204",,,"Bouee 13_20090204",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,37.674919,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090204NA",44.6334,-1.2377,,"Bouee 13","20090204",,,"Bouee 13_20090204",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,1730.355221,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090219NA",44.6334,-1.2377,,"Bouee 13","20090219",,,"Bouee 13_20090219",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,40.365985,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090219NA",44.6334,-1.2377,,"Bouee 13","20090219",,,"Bouee 13_20090219",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4262.648009,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090306NA",44.6334,-1.2377,,"Bouee 13","20090306",,,"Bouee 13_20090306",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4904.352648,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090319NA",44.6334,-1.2377,,"Bouee 13","20090319",,,"Bouee 13_20090319",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,14.060742,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090319NA",44.6334,-1.2377,,"Bouee 13","20090319",,,"Bouee 13_20090319",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,3371.766029,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090403NA",44.6334,-1.2377,,"Bouee 13","20090403",,,"Bouee 13_20090403",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,43.057051,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090403NA",44.6334,-1.2377,,"Bouee 13","20090403",,,"Bouee 13_20090403",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,944.564047,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090417NA",44.6334,-1.2377,,"Bouee 13","20090417",,,"Bouee 13_20090417",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,24.219591,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090417NA",44.6334,-1.2377,,"Bouee 13","20090417",,,"Bouee 13_20090417",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2072.12056,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090417NA",44.6334,-1.2377,,"Bouee 13","20090417",,,"Bouee 13_20090417",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2.691066,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090504NA",44.6334,-1.2377,,"Bouee 13","20090504",,,"Bouee 13_20090504",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,21.528525,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090504NA",44.6334,-1.2377,,"Bouee 13","20090504",,,"Bouee 13_20090504",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,7327.771798,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090519NA",44.6334,-1.2377,,"Bouee 13","20090519",,,"Bouee 13_20090519",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,5.382131,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090519NA",44.6334,-1.2377,,"Bouee 13","20090519",,,"Bouee 13_20090519",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,13205.0592,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090602NA",44.6334,-1.2377,,"Bouee 13","20090602",,,"Bouee 13_20090602",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,18.276762,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090602NA",44.6334,-1.2377,,"Bouee 13","20090602",,,"Bouee 13_20090602",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,11318.53786,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090616NA",44.6334,-1.2377,,"Bouee 13","20090616",,,"Bouee 13_20090616",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,112.485939,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090616NA",44.6334,-1.2377,,"Bouee 13","20090616",,,"Bouee 13_20090616",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,10987.06412,"CEMP~NATL"
